,Data
2020-01-01,0.976973333145162
2020-01-02,0.200780443688194
2020-01-03,0.981218170975128
2020-01-04,0.514813790730573
2020-01-05,0.144533170978306
2020-01-06,0.521374465625824
2020-01-07,0.673632138289215
2020-01-08,0.110207820789319
2020-01-09,0.832627626912448
2020-01-10,0.723550532132494
2020-01-11,0.419864262056589
2020-01-12,0.441900358901679
2020-01-13,0.872880937409587
2020-01-14,0.208392398892958
2020-01-15,0.38349283399428
2020-01-16,0.765728356119072
2020-01-17,0.962282715318034
2020-01-18,0.090187016447845
2020-01-19,0.111932652832946
2020-01-20,0.608780637197214
2020-01-21,1.09018701644784
2020-01-22,1.11193265283295
2020-01-23,1.60878063719721
2020-01-24,2.09018701644784
2020-01-25,2.11193265283295
